REGION,Country,year,HIV_deaths,HIV_cases,HIV_women_percent,population_in_thousands,GDP,unemployment_rate
Eastern Mediterranean,Bahrain,2016,100,<500,0.171,1409.661,22608.46892,0.01181
Eastern Mediterranean,Lebanon,2016,100,2400,0.143,6258.619,7653.73363,0.09723
Eastern Mediterranean,Oman,2016,100,2000,0,4398.07,14618.73313,0.0327
Eastern Mediterranean,Qatar,2016,100,<200,0.207,2595.166,57163.07568,0.0015
Eastern Mediterranean,Syrian Arab Republic,2016,100,560,0.363,18964.252,760.9213372,0.08765
Eastern Mediterranean,Libya,2016,200,6700,0.368,6282.196,7671.865468,0.19516
Eastern Mediterranean,Tunisia,2016,500,4500,0.461,11685.667,3697.880363,0.1556
Eastern Mediterranean,Afghanistan,2016,1200,7500,0.288,34636.207,509.2711722,0.10086
Eastern Mediterranean,Sudan,2016,3200,38000,0.475,39377.169,2250.36653,0.17441
Eastern Mediterranean,Djibouti,2016,770,7400,0.562,1023.261,2818.376856,0.26197
Eastern Mediterranean,Pakistan,2016,6600,140000,0.175,213524.84,1362.860008,0.03756
Eastern Mediterranean,Somalia,2016,780,9500,0.491,14292.847,106.3427192,0.18931
Eastern Mediterranean,Morocco,2016,840,21000,0.482,35107.264,2941.156676,0.093
Eastern Mediterranean,Iraq,2016,,Nodata,0.417,38697.943,4550.658638,0.1082
Eastern Mediterranean,Jordan,2016,,Nodata,0.276,9964.656,4175.356604,0.1528
Eastern Mediterranean,Kuwait,2016,,Nodata,0,4048.085,27649.72362,0.0216
Eastern Mediterranean,Saudi Arabia,2016,,Nodata,0.256,33416.27,19878.76572,0.056
Eastern Mediterranean,United Arab Emirates,2016,,Nodata,0.272,8994.263,38141.85652,0.0164
Eastern Mediterranean,Bahrain,2015,100,<500,0.175,1362.142,22634.11865,0.01197
Eastern Mediterranean,Lebanon,2015,100,2300,0.153,6398.94,7663.923752,0.09263
Eastern Mediterranean,Oman,2015,100,2000,0.298,4191.776,16028.61152,0.03384
Eastern Mediterranean,Qatar,2015,100,<200,0.212,2414.573,63039.06349,0.0017
Eastern Mediterranean,Syrian Arab Republic,2015,100,550,0.364,19205.178,1109.412836,0.08721
Eastern Mediterranean,Libya,2015,200,6400,0.368,6192.235,7559.933245,0.19521
Eastern Mediterranean,Tunisia,2015,500,4300,0,11557.779,3861.643875,0.1516
Eastern Mediterranean,Afghanistan,2015,1000,6900,0.287,33753.499,543.7689396,0.08989
Eastern Mediterranean,Sudan,2015,3200,38000,0.476,38171.178,2157.509364,0.17444
Eastern Mediterranean,Pakistan,2015,5700,130000,0.168,210969.298,1339.012975,0.0357
Eastern Mediterranean,Djibouti,2015,920,7800,0.562,1006.259,2675.605375,0.26337
Eastern Mediterranean,Morocco,2015,910,20000,0.479,34680.458,2918.891836,0.0946
Eastern Mediterranean,Somalia,2015,890,10000,0.485,13763.906,105.4401713,0.18877
Eastern Mediterranean,Iraq,2015,,Nodata,0.421,37757.813,4688.318938,0.10729
Eastern Mediterranean,Jordan,2015,,Nodata,0.282,9494.246,4164.107876,0.1308
Eastern Mediterranean,Kuwait,2015,,Nodata,0,3908.743,29874.03252,0.022
Eastern Mediterranean,Saudi Arabia,2015,,Nodata,0.256,32749.848,20627.92763,0.056
Eastern Mediterranean,United Arab Emirates,2015,,Nodata,0.277,8916.899,38663.37156,0.01763
Eastern Mediterranean,Bahrain,2014,100,<500,0,1311.134,24989.38021,0.01184
Eastern Mediterranean,Lebanon,2014,100,2100,0.165,6274.342,7687.761792,0.08765
Eastern Mediterranean,Oman,2014,100,1900,0.296,4009.267,20035.17398,0.0355
Eastern Mediterranean,Qatar,2014,100,<200,0.212,2214.465,83858.47685,0.002
Eastern Mediterranean,Syrian Arab Republic,2014,100,540,0.366,20072.232,1252.483681,0.08744
Eastern Mediterranean,Libya,2014,200,6100,0.367,6097.764,8982.122587,0.19611
Eastern Mediterranean,Tunisia,2014,500,4100,0.457,11428.948,4305.543424,0.1426
Eastern Mediterranean,Afghanistan,2014,900,6400,0.287,32716.21,585.8626728,0.0791
Eastern Mediterranean,Sudan,2014,3200,38000,0.477,37003.245,2056.237938,0.17385
Eastern Mediterranean,Pakistan,2014,5000,110000,0,208251.628,1274.669722,0.0183
Eastern Mediterranean,Djibouti,2014,980,8200,0.561,989.087,2466.020613,0.2651
Eastern Mediterranean,Morocco,2014,930,20000,0.477,34248.603,3219.455393,0.097
Eastern Mediterranean,Somalia,2014,950,11000,0.479,13309.235,122.9990275,0.1901
Eastern Mediterranean,Iraq,2014,,Nodata,0.425,36746.488,6637.683989,0.1059
Eastern Mediterranean,Jordan,2014,,Nodata,0.287,8658.026,4131.444579,0.119
Eastern Mediterranean,Kuwait,2014,,Nodata,0.289,3761.584,44069.03988,0.029
Eastern Mediterranean,Saudi Arabia,2014,,Nodata,0.257,32125.564,24464.2173,0.0572
Eastern Mediterranean,United Arab Emirates,2014,,Nodata,0,8835.951,43751.85055,0.01902
Eastern Mediterranean,Bahrain,2013,100,<500,0.184,1261.673,24744.38377,0.01178
Eastern Mediterranean,Lebanon,2013,100,1900,0.177,5678.851,7933.22527,0.0828
Eastern Mediterranean,Oman,2013,100,1800,0.294,3816.68,20865.78628,0.03602
Eastern Mediterranean,Qatar,2013,100,<200,0.215,2035.501,85050.86635,0.0028
Eastern Mediterranean,Syrian Arab Republic,2013,100,530,0.365,21495.821,1379.89373,0.08863
Eastern Mediterranean,Libya,2013,200,5800,0.365,5985.221,11898.53721,0.1946
Eastern Mediterranean,Tunisia,2013,500,3800,0.455,11300.284,4222.812667,0.1593
Eastern Mediterranean,Afghanistan,2013,810,5900,0.288,31541.209,608.0586417,0.07949
Eastern Mediterranean,Sudan,2013,3400,38000,0.479,35990.704,1724.553464,0.17405
Eastern Mediterranean,Pakistan,2013,4100,100000,0,205337.562,1151.666255,0.0295
Eastern Mediterranean,Djibouti,2013,1000,8700,0,971.753,2312.728803,0.26714
Eastern Mediterranean,Morocco,2013,1000,20000,0.476,33803.527,3168.42274,0.0923
Eastern Mediterranean,Somalia,2013,1000,11000,0.471,12852.485,134.9249654,0.19066
Eastern Mediterranean,Iraq,2013,,Nodata,0.428,35481.8,7076.554613,0.09263
Eastern Mediterranean,Jordan,2013,,Nodata,0.291,7694.814,4044.431146,0.126
Eastern Mediterranean,Kuwait,2013,,Nodata,0,3646.518,49389.97618,0.02622
Eastern Mediterranean,Saudi Arabia,2013,,Nodata,0.257,31482.498,24845.12384,0.056
Eastern Mediterranean,United Arab Emirates,2013,,Nodata,0.282,8751.847,42412.62727,0.02032
Eastern Mediterranean,Bahrain,2012,100,<500,0,1224.939,23654.35168,0.012
Eastern Mediterranean,Lebanon,2012,100,1700,0.189,5178.337,7952.162754,0.0783
Eastern Mediterranean,Libya,2012,100,5500,0.363,5869.87,14718.0878,0.1903
Eastern Mediterranean,Oman,2012,100,1700,0.292,3535.579,21872.62025,0.03658
Eastern Mediterranean,Qatar,2012,100,<200,0.219,1905.66,85076.18024,0.0048
Eastern Mediterranean,Syrian Arab Republic,2012,100,520,0.367,22605.577,2291.618515,0.08856
Eastern Mediterranean,Tunisia,2012,200,3600,0.454,11174.383,4152.703104,0.1763
Eastern Mediterranean,Afghanistan,2012,720,5400,0.289,30466.479,614.109574,0.08019
Eastern Mediterranean,Sudan,2012,3300,38000,0,35159.792,1720.923522,0.17668
Eastern Mediterranean,Pakistan,2012,3300,89000,0.138,202205.861,1146.099479,0.01864
Eastern Mediterranean,Djibouti,2012,1100,9300,0,954.297,1964.194474,0.26873
Eastern Mediterranean,Morocco,2012,1100,19000,0.475,33352.169,2956.0836,0.0899
Eastern Mediterranean,Somalia,2012,1100,12000,0.466,12440.326,119.5030695,0.19161
Eastern Mediterranean,Iraq,2012,,Nodata,0.431,33864.447,6836.027509,0.0796
Eastern Mediterranean,Jordan,2012,,Nodata,0.295,7211.863,3910.347375,0.122
Eastern Mediterranean,Kuwait,2012,,Nodata,0.289,3394.663,51972.1826,0.02318
Eastern Mediterranean,Saudi Arabia,2012,,Nodata,0.257,30821.543,25243.60719,0.0552
Eastern Mediterranean,United Arab Emirates,2012,,Nodata,0.284,8664.969,40976.50538,0.02171
Eastern Mediterranean,Bahrain,2011,100,<500,0.194,1212.077,22514.24868,0.01185
Eastern Mediterranean,Lebanon,2011,100,1500,0.201,5045.056,7675.303038,0.07383
Eastern Mediterranean,Libya,2011,100,5200,0.361,6188.132,7720.978791,0.19446
Eastern Mediterranean,Oman,2011,100,1600,0.289,3206.87,20876.78803,0.03865
Eastern Mediterranean,Qatar,2011,100,<200,0.224,1804.171,82409.57733,0.0056
Eastern Mediterranean,Syrian Arab Republic,2011,100,510,0.367,22730.733,3191.994378,0.08626
Eastern Mediterranean,Tunisia,2011,200,3300,0.455,11032.528,4264.725435,0.1833
Eastern Mediterranean,Afghanistan,2011,640,4800,0,29249.157,576.1017703,0.07947
Eastern Mediterranean,Pakistan,2011,2500,77000,0.125,198602.738,1154.529152,0.008
Eastern Mediterranean,Sudan,2011,3200,38000,0.482,34419.624,1932.349618,0.1744
Eastern Mediterranean,Djibouti,2011,1200,9800,0,936.811,1702.985513,0.26971
Eastern Mediterranean,Morocco,2011,1100,19000,0.475,32903.699,3092.283635,0.0891
Eastern Mediterranean,Somalia,2011,1100,12000,0.462,12216.837,91.80093501,0.19173
Eastern Mediterranean,Iraq,2011,,Nodata,0.434,32378.061,6045.495551,0.08125
Eastern Mediterranean,Jordan,2011,,Nodata,0.301,7109.98,3852.89606,0.129
Eastern Mediterranean,Kuwait,2011,,Nodata,0.288,3143.825,48623.04912,0.02033
Eastern Mediterranean,Saudi Arabia,2011,,Nodata,0.258,30150.945,23745.88226,0.0577
Eastern Mediterranean,United Arab Emirates,2011,,Nodata,0.287,8575.205,39194.67965,0.02284
Eastern Mediterranean,Bahrain,2010,100,<500,0.198,1213.645,20722.13729,0.0113
Eastern Mediterranean,Lebanon,2010,100,1300,0.216,4995.8,7761.646191,0.06836
Eastern Mediterranean,Libya,2010,100,4800,0.359,6491.988,12168.75418,0.19308
Eastern Mediterranean,Oman,2010,100,1600,0.286,2881.914,18712.5763,0.04007
Eastern Mediterranean,Qatar,2010,100,<200,0.226,1713.504,67403.19425,0.0045
Eastern Mediterranean,Syrian Arab Republic,2010,100,<500,0.367,22337.563,2830.428555,0.0861
Eastern Mediterranean,Tunisia,2010,200,2900,0.455,10895.063,4141.976353,0.1305
Eastern Mediterranean,Afghanistan,2010,570,4400,0,28189.672,503.6366056,0.08068
Eastern Mediterranean,Somalia,2010,1200,13000,0.459,12026.649,90.73356305,0.19174
Eastern Mediterranean,Pakistan,2010,1800,66000,0.109,194454.498,972.5973129,0.0065
Eastern Mediterranean,Sudan,2010,3000,37000,0.485,33739.933,1584.58625,0.1513
Eastern Mediterranean,Djibouti,2010,1200,10000,0,919.199,1480.188842,0.27194
Eastern Mediterranean,Morocco,2010,1100,18000,0.475,32464.865,2882.110528,0.0909
Eastern Mediterranean,Iraq,2010,,Nodata,0.437,31264.875,4657.280426,0.08252
Eastern Mediterranean,Jordan,2010,,Nodata,0.306,6931.258,3736.646494,0.125
Eastern Mediterranean,Kuwait,2010,,Nodata,0.287,2943.356,38576.3778,0.0182
Eastern Mediterranean,Saudi Arabia,2010,,Nodata,0.258,29411.929,19262.55252,0.0555
Eastern Mediterranean,United Arab Emirates,2010,,Nodata,0.289,8481.771,33893.31689,0.02464
Eastern Mediterranean,Bahrain,2009,100,<500,0.204,1179.453,19355.90657,0.01144
Eastern Mediterranean,Lebanon,2009,100,1200,0.231,4951.135,7354.953605,0.0635
Eastern Mediterranean,Libya,2009,100,4400,0.357,6360.191,9912.116371,0.19411
Eastern Mediterranean,Oman,2009,100,1500,0.284,2697.537,16823.79495,0.04058
Eastern Mediterranean,Qatar,2009,100,<200,0.235,1610.274,59094.52366,0.0031
Eastern Mediterranean,Syrian Arab Republic,2009,100,<500,0.365,21827.22,2551.733439,0.0814
Eastern Mediterranean,Tunisia,2009,200,2600,0.455,10784.504,4128.53922,0.1329
Eastern Mediterranean,Afghanistan,2009,500,4100,0,27385.307,408.3539296,0.08082
Eastern Mediterranean,Somalia,2009,1300,14000,0.457,11730.037,106.3906499,0.19174
Eastern Mediterranean,Pakistan,2009,1300,55000,0.094,190123.222,920.3080544,0.0054
Eastern Mediterranean,Sudan,2009,3100,37000,0.487,32948.155,1449.554432,0.13
Eastern Mediterranean,Djibouti,2009,1200,11000,0.559,901.103,1321.430567,0.27402
Eastern Mediterranean,Morocco,2009,1100,17000,0.475,32042.877,2909.48878,0.0896
Eastern Mediterranean,Iraq,2009,,Nodata,0.441,30289.04,4439.826754,0.08395
Eastern Mediterranean,Jordan,2009,,Nodata,0.313,6780.493,3559.691079,0.129
Eastern Mediterranean,Kuwait,2009,,Nodata,0.287,2795.55,37563.32973,0.0164
Eastern Mediterranean,Saudi Arabia,2009,,Nodata,0.259,28483.797,16113.14374,0.0538
Eastern Mediterranean,United Arab Emirates,2009,,Nodata,0.293,7992.644,32442.67885,0.02668
Eastern Mediterranean,Bahrain,2008,100,<500,0.208,1110.343,23066.50698,0.0111
Eastern Mediterranean,Lebanon,2008,100,1100,0,4887.613,6111.332411,0.07672
Eastern Mediterranean,Libya,2008,100,4000,0.356,6228.37,14311.6563,0.19428
Eastern Mediterranean,Oman,2008,100,1500,0,2651.028,22139.68434,0.0414
Eastern Mediterranean,Qatar,2008,100,<200,0.239,1444.277,80234.43685,0.0031
Eastern Mediterranean,Syrian Arab Republic,2008,100,<500,0.359,21474.059,2543.448342,0.1094
Eastern Mediterranean,Tunisia,2008,200,2200,0.456,10680.38,4307.431047,0.1244
Eastern Mediterranean,Afghanistan,2008,500,3800,0.289,26427.199,369.266275,0.08022
Eastern Mediterranean,Somalia,2008,1300,14000,0.456,11444.87,228.1288829,0.19175
Eastern Mediterranean,Sudan,2008,3500,37000,0.489,32065.241,1497.505473,0.148
Eastern Mediterranean,Pakistan,2008,820,42000,0,185931.955,880.2118723,0.0042
Eastern Mediterranean,Djibouti,2008,1300,12000,0.558,882.886,1195.804139,0.27455
Eastern Mediterranean,Morocco,2008,1100,17000,0.474,31634.992,2933.301005,0.0957
Eastern Mediterranean,Iraq,2008,,Nodata,0.444,29218.381,4355.653466,0.0848
Eastern Mediterranean,Jordan,2008,,Nodata,0.318,6632.873,3455.930205,0.127
Eastern Mediterranean,Kuwait,2008,,Nodata,0.286,2650.93,55489.37529,0.0175
Eastern Mediterranean,Saudi Arabia,2008,,Nodata,0.259,27437.353,20078.25538,0.0508
Eastern Mediterranean,United Arab Emirates,2008,,Nodata,0.297,6988.685,45080.46215,0.02721
Eastern Mediterranean,Bahrain,2007,100,<500,0.212,1040.532,20976.55554,0.01091
Eastern Mediterranean,Lebanon,2007,100,1000,0,4809.608,5207.796,0.0898
Eastern Mediterranean,Libya,2007,100,3500,0.356,6097.177,11386.68412,0.19443
Eastern Mediterranean,Oman,2007,100,1400,0.276,2605.7,15838.49342,0.04189
Eastern Mediterranean,Qatar,2007,100,<200,0.245,1231.893,65421.65681,0.0052
Eastern Mediterranean,Syrian Arab Republic,2007,100,<500,0.354,20703.005,2025.921471,0.0842
Eastern Mediterranean,Tunisia,2007,100,1800,0.456,10580.395,3776.455943,0.1236
Eastern Mediterranean,Afghanistan,2007,500,3500,0.287,25903.301,347.305373,0.08108
Eastern Mediterranean,Pakistan,2007,520,30000,0.069,181924.521,906.5354757,0.004
Eastern Mediterranean,Somalia,2007,1400,15000,0.454,11118.092,224.0944117,0.19174
Eastern Mediterranean,Morocco,2007,1100,16000,0.474,31232.633,2536.317631,0.0956
Eastern Mediterranean,Djibouti,2007,1300,12000,0.557,865.196,1052.725652,0.27619
Eastern Mediterranean,Iraq,2007,,Nodata,0.448,28660.887,3182.947935,0.0865
Eastern Mediterranean,Jordan,2007,,Nodata,0.324,6473.457,2820.765658,0.131
Eastern Mediterranean,Kuwait,2007,,Nodata,0.283,2506.769,45780.59015,0.015
Eastern Mediterranean,Saudi Arabia,2007,,Nodata,0.259,26400.068,16516.62653,0.0573
Eastern Mediterranean,United Arab Emirates,2007,,Nodata,0.302,5872.624,42355.89416,0.0286